운동명,운동 정보,운동 소개,운동 절차,운동 팁,썸네일 링크,유튜브 링크
Dead Bug,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}","The deadbug is an exercise used to strengthen the muscles of the abs. The exercise stems from the plank exercise family tree.
The deadbug works as an anti-extension abdominal exercise in which you must keep the spine stable as you slowly raise your arm overhead.
The deadbug gets its name because you look like a dead bug on its back with its legs in the air when you are performing the exercise.
","Setup in a supine position with your legs in a 90/90 position (90 degree bend at the hips and knees) and your arms reaching towards the ceiling Extend the opposite arm and leg simultaneously as you exhale Return back to the starting position and repeat on the opposite side Repeat for the desired number of total repetitions ","Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath Move slowly but methodically  The goal is control within space, not simply completion of repetitions Ensure that you exhale as the arm moves overhead and the leg extends  The goal is to keep the ribs down and prevent the lower back from hyperextending If you can’t maintain a neutral spine while moving the arm and leg simultaneously, then begin with just the arms or legs by themselves  Only incorporate more elements when you’ve mastered control of the individual components ",https://cdn.muscleandstrength.com/sites/default/files/deadbug.jpg,https://www.youtube.com/embed/eEhoSeBFoBk?rel=0
Decline Abdominal Reach,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Set a decline bench at a height of between 30 and 45 degrees  The higher you set the bench the more challenging the exercise will be Position yourself on the bench with your head at the lowest end Get into the starting position by putting your hands together pointing at the ceiling and raising your shoulder blades slightly off the bench Keeping your hands together, reach straight up towards the ceiling as far as possible Pause, then lower yourself back to the starting position (with your shoulder blades off the bench) Exercise ","This exercise is awesome for core strength It's already challenging, but you can add extra intensity by holding a dumbbell in your hands and pausing for a count of 2 at the top of the exercise Make sure you don't let your shoulder blades touch the bench throughout the set ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/declineabdominalreach1.jpg?itok=4rXJEzBe,
Chair Leg Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}",,"The Roman Chair leg raise hits your lower abs Set up for the exercise by positioning yourself in the Roman chair Your forearms should be along the horizontal pads, hands gripping the handles, and back against the back pad Take your feet off the supports so they're hanging This is the start position of the exercise Keeping your legs straight, feet and knees together, raise your legs up as far as possible Pause for a count of 1 or more, then lower back to the starting position Repeat for desired reps ​Leg Raise ","The longer you hold your legs up on each rep the harder the abs work Increase the hold to make the exercise harder ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/chairlegraise1.jpg?itok=6rWNzdfB,
Lying Alternate Floor Leg Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Set up for the lying floor leg raise by putting a mat on the floor and laying down on your back with your legs extended straight out and your arms by your side with palms on the floor Get ready to start the set by lifting your heels off the floor slightly Keeping your right leg straight out in front of you off the floor, raise your left leg slowly up to 90 degrees Slowly lower your left leg back to the starting position without touching the floor and repeat the movement with your right leg ​Leg Raise ","Keep your feet off the floor for the entire set Do not pause at the top of the movement Keep movements slow and steady ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/lyingalternatelegraise1.jpg?itok=zhHDRtAv,
Turkish Get Up,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Kettle Bells"",""mechanics"":""Compound"",""forceType"":""Push (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Adductors, Glutes, Hamstrings, Quads, Shoulders, Upper Back ""}","The Turkish get up is a full body movement that challenges the muscles of the core to stabilize the spine as you go from a side lying position to a standing position all while maintaining a weight overhead.
The Turkish get up can be incorporated into any kind of program, but is best used as a corrective and/or warm up exercise.
","Setup in a side lying position with the kettle bell in a front racked position and your hands overlapped on the handle Roll onto your back and press the kettle bell to extension with one hand Extend your free hand to the side and raise the knee on the same side as the kettle bell (i e if you’re holding the weight in your R hand, your R knee should be flexed)Sit up to the elbow as you punch the kettlebell overhead Extent the elbow you’re braced on and push yourself up to your hand Bridge the hips up while keeping one leg straight Once the hips are extended, sweep the straight leg through and assume a half kneeling position with one hand still on the floor and the other overhead Bring the torso upright, reposition the down leg so that it’s inline with the forward leg, and then drive up to a standing position out of the half kneeling stance From the standing position, simply step back in a reverse lunge to revert to the half kneeling position Repeat steps #1-8 in reverse order to get back to the supine starting position Repeat for the desired number of repetitions ","You should be looking at the kettlebell for the ENTIRE duration of the exercise  As you become more experienced, you may be able to look straight ahead once you get to the half kneeling stance but initially it’s wise to just focus solely on the weight overhead Don’t start with heavy weight (or any weight at all if just learning the get up), use a shoe, a ball, or something else with a relatively light weight For the initial sit-up portion of the lift, use the cue from Dan John, “Punch and crunch!”The turkish get up is mainly used a corrective exercise or warm up drill  It can be used in more general population settings Focus on squeezing the handle of the kettlebell tightly in order to improve stability at the shoulder ",https://cdn.muscleandstrength.com/sites/default/files/turkish-get-up.jpg,https://www.youtube.com/embed/kYxmLkgnfD8?rel=0
Abominal Hip Thrust,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Grab a flat bench and lay down on your back with your feet hanging off one end Grasp the bench above your head Keeping your feet and knees together, bring your legs up until they're pointing straight up towards the ceiling This is the start of the exercise Thrust your hips up off the bench by lifting your buttocks up Slowly lower back down Repeat for desired reps ​Hip Thrust ","Pause at the top of the movement for added intensity ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/hipthrusts1.jpg?itok=j0DgNgw0,
Decline Weighted Twist,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Other"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""Lower Back, Shoulders ""}",,"Get a decline bench and set the angle at around 30 to 45 degrees Select the weight you wish to use  We recommend using a weight plate but you can also use a medicine ball or dumbbell Sit on the bench with your feet up the high end resting through the pads Keeping your back straight, lean back until your back it at right angles to the bench (90 degrees) Holding the weight out in from of you with your arms slightly bent, twist at the mid section bringing the weight over to your right side Do not pause, and slowly move the weight back across to your left side Repeat for desired reps ​Exercise ","Do not swing the weight back and forth  Use your mid section to control the weight ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/declineweightedtwists1.jpg?itok=XW5619n0,
Standing Oblique Cable Crunch,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Cable"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"The standing oblique cable crunch hits the abs and obliques Set up the high pulley cable machine by attaching a grip attachment and selecting the weight you want to use Grasp the handle with your left hand and face your body at a right angle to the cable pulley with your feet firmly on the floor and shoulder width apart Your forearm should be at a right angle to your upper arm Pull down with your left oblique as far as possible Pause, then lower the weight back down Don't let the weight drop to the stack at any time throughout the exercise Repeat this movement for the desired number of reps and then switch to your other side  ​Exercise ","Keep your back straight and eyes looking forward at all times Keep the arm that's holding the cable fixed at all times Pause for 2+ seconds at the mid point of the exercise for added intensity ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/standingobliquecrunch1.jpg?itok=bZv9jwGz,
Roman Chair Knee Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"The Roman chair knee raise hits your lower abdominal muscles Get into the chair so that your forearms are resting on the pads, back on the back pad, and hands grasping the handles Take your feet off the rests so they are hanging straight down Slowly raise your knees up as high as possible Pause, then lower back to the starting position Repeat for desired reps Knee Raise ","You must do the Roman chair leg raise slowly Using speed and momentum throughout the exercise takes the emphasis off your abs You can also do this exercise weighted, holding a dumbbell between your feet ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/chairkneeraise1.jpg?itok=FnYcbrev,
Hollow Body Hold,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}","The hollow body hold is a more advanced variation of the dead bug and an exercise used to strengthen the muscles of the abs.
The hollow body hold stems from the plank exercise family tree and trains the abs utilizing an anti-extension movement which forces the core to stabilize the spine through isometric tension.
","Setup in a supine position with your legs straight, hips flexed, and arms reaching towards the ceiling Slowly lower your legs as you extend your hips and allow your arms to reach overhead But, ensure you only lower them to the point where you can keep your lower back pressed into the floor Hold for the desired length of time Repeat for the desired number of repetitions ","Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath If you can’t maintain neutral spine despite the positioning of your arms or legs, then look to regress to something like a dead bug or a wall press abs variation You can also regress the movement by bending your knees, hovering your feet just off the floor, and reaching your hands out diagonally towards your feet to help cue more of a “hollow” position  All of these modifications will essentially shorten the lever which you’re trying to overcome while completing the exercise Keep your head off the ground and point your toes Hollow body holds take time to master and should be the foundation for any gymnastics work  Similarly, if you’re struggling to maintain handstands or other bodyweight work, it would be worth improving your hollow body hold ",https://cdn.muscleandstrength.com/sites/default/files/hollow-body-hold.jpg,https://www.youtube.com/embed/lmkw48_CGm0?rel=0
Stir the Pot on Exercise Ball,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Exercise Ball"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The stir the pot on an exercise ball is variation of the exercise ball plank and an exercise used to target the muscles of the core.
The stir the pot on an exercise ball exercise works the core muscles by challenging the stability of one’s core.
","Assume a kneeling position with your forearms resting on a physioball Extend each leg and utilize a shoulder width (or slightly wider) stance Slowly rotate the arms in a clockwise fashion for the assigned number of repetitions Repeat for the desired number of repetitions in the opposite direction (counter clockwise) ","The movement should occur entirely at the shoulders, ensure the forearms and upper arms maintain (nearly) 90 degrees Do not allow the lower back to arch as the forearms rotate - keep tension through your abdominals and squeeze your glutes Rotate slowly and focus on not allowing the hips to drop to either side Press your elbows into the ball to help engage your serratus anterior as your rotate the forearms Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath ",https://cdn.muscleandstrength.com/sites/default/files/stir-the-pot-physioball.jpg,https://www.youtube.com/embed/3h8_DwH061Q?rel=0
Plank With Feet On Bench,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Static"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Lower Back ""}",,"This is another version of the plank exercise The difference being that your feet are elevated on a bench This makes the exercise slightly more demanding Set up for the exercise by placing a mat on the floor and setting a bench at right angles on one end Put your feet on the bench, and rest your torso on your elbows Straighten out your whole body to form a perfectly straight plank Hold this position as long as possible Rest for 1 min, then repeat Plank ","Keep your body dead straight at all times  Do not let your mid section sag!Add intensity by lifting one of your feet off the bench slightly ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/plankwithfeetonbench1.jpg?itok=yYC9u2wP,
Seated Barbell Twist,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Barbell"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"The seated barbell twist exercise focuses on your obliques Grab a light barbell and rest it on the muscle on the back of your neck Do not rest the weight on your neck!Sit down on a flat bench with your feet at a wider than shoulder width stance, firmly on the floor Keep your back firm and straight Slowly twist your torso to the right and then to the left Twist as far as possible Do not move your head with the twist, but keep facing forward ​Exercise ",Keep your head facing forward Don't look from side to side  Keep your abs tight throughout the whole set Make sure you have enough room if you're using an Olympic bar!,https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/seatedbarbelltwist1.jpg?itok=pbbAQytB,
Frog Sit Up,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The frog sit up is an exercise used to target the muscles of the core. It is a flexion based exercise and may not be suitable for those with low back pain.
The frog sit up is a variation of the sit up. The main difference in the frog sit up is the foot positioning, which as a result, encourages you to open up your hips more than a standard sit up would.
","Lay supine in a relaxed position with your arms crossed, feet together, legs open, and knees pushed outwards Exhale and squeeze your abs as you raise your upper back off the floor Once your abs are fully contracted, slowly lower yourself back to the starting position and complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/frog-sit-up.jpg,https://www.youtube.com/embed/BFBjfwAkhhY?rel=0
Hip Adduction Machine,"{""targetMuscleGroup"":""Adductors"",""exerciseType"":""Strength"",""equipmentRequired"":""Machine"",""mechanics"":""Isolation"",""forceType"":""Push (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Glutes, Hamstrings ""}","The hip adduction machine exercise is an exercise used to strengthen the muscles of the adductors.
Having strong adductor plays a critical role in using maximal weights on lower body exercises such as squats and lunges.
From an aesthetic standpoint, using the hip adduction machine can help in building shapely inner thighs.
","Setup in an upright position with your back against the pad and your spine neutral Exhale and pull the legs together as you squeeze the pads inward Once the pads touch, slowly return to the starting position Repeat for the desired number of repetitions ","Experiment with foot and pelvis position  Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i e  lean forward or push your back into the pad) ",https://cdn.muscleandstrength.com/sites/default/files/hip-adduction-machine.jpg,https://www.youtube.com/embed/Oj7IN952fSg?rel=0
Deep Squat Prying,"{""targetMuscleGroup"":""Adductors"",""exerciseType"":""Warmup"",""equipmentRequired"":""Kettle Bells"",""mechanics"":""Compound"",""forceType"":""Dynamic Stretching"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Glutes, Hamstrings, Hip Flexors, Quads ""}","The deep squat prying drill is both an activation exercise and a drill that promotes increased mobility.
The deep squat portion of the drill is beneficial in activating the muscles of the lower body including the adductors, quads, glutes, and hamstrings.
The prying part of the drill helps open up the hips to promote more fluid range of motions during your working sets later in the workout.
One would typically perform the deep squat prying drill at the beginning of their workouts as a dynamic stretch in their specific warm up routine.
","In a standing position with a shoulder width stance, hold a kettlebell at chest height using both hands Squat down by breaking at the hips and knees simultaneously Sit as deep as comfortably possible Rock from side to side while flexing the ankles and pushing the knees out with the elbows to open up the hips Repeat for the desired number of repetitions or time ","Focus on keeping your spine tall in the bottom position and don’t allow the weight to pull your forward Ideally you should be able to sit comfortably in the bottom position and open up the hips and ankles as you rock side to side To get into a deep squat, you should try to focus on sitting down rather than back to keep your torso upright ",https://cdn.muscleandstrength.com/sites/default/files/deep-squat-prying.jpg,https://www.youtube.com/embed/GWhI41W8xnk?rel=0
Rocking Frog Stretch,"{""targetMuscleGroup"":""Adductors"",""exerciseType"":""Warmup"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Dynamic Stretching"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Shoulders, Upper Back ""}","The rocking frog stretching drill is a form of dynamic stretching that warms up the muscles of the groin, upper back and shoulders.
Dynamic stretching is critical prior to performing your workouts as it allows you to activate your central nervous system and engage the muscle groups you’ll use later in your workout. Incorporating them into your warm up routine will help you get better results and avoid injury.
","In a quadruped position, ensure the hands are underneath the shoulders, the knees are underneath the hips, and the toes are tucked Spread the knees wide until you feel a stretch within your groin From here, push your hands into the ground to drive your hips back and keep your chest upright Push back until your hips run out of range of motion and then return to the starting position Repeat for the desired number of repetitions ","Focus on keeping all of the movement relegated to the hip, don’t allow the spine to move to compensate a lack of hip mobility Push into the floor with your hands and focus on keeping the head neutral If you feel a pinch in the front portion of your hips while you rock back, experiment with different knee widths  Depending upon your individual anatomy, you may need a slightly wider or narrower stance ",https://cdn.muscleandstrength.com/sites/default/files/rocking-frog-stretch.jpg,https://www.youtube.com/embed/ABcuTyDyRhU?rel=0&showinfo=0
Alternating Lateral Lunge with Overhead Reach,"{""targetMuscleGroup"":""Adductors"",""exerciseType"":""Warmup"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Dynamic Stretching"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Calves, Hamstrings, Shoulders, Upper Back ""}","The alternating lateral lunge with overhead reach is a warm-up exercise used to dynamically stretch the lower body, shoulders, and upper back. The stretch primarily increases mobility in the groin, but will also be felt in the shoulders.
Warming up adequately is an important part of any workout routine, and maintaining mobility can increase the overall effectiveness of certain exercises.
","Stand in an upright position with your feet together and arms at your sides Step laterally and sit back into your hip while you extend your opposite leg Once at the bottom of the lateral lunge, keep your arms straight and raise them into shoulder flexion After you reach overhead, lower the arms and push back to your starting position Repeat for the desired number of repetitions on both sides ","As your raise the arms overhead, make sure the movements comes entirely from the shoulders and not the spine Exhale as you reach and focus on activating the musculature of your upper back and posterior shoulder During the lateral lunge, if you’re able to descend deep into the movement, experiment with allowing the sole of the shoe to come off the floor and point your toes towards the ceiling  Depending upon each individual’s bony hip anatomy, this may feel better ",https://cdn.muscleandstrength.com/sites/default/files/alternating-lateral-lunge-with-overhead-reach.jpg,https://www.youtube.com/embed/cGQ3H4sZbSM?rel=0
Lateral Kneeling Adductor Mobilization,"{""targetMuscleGroup"":""Adductors"",""exerciseType"":""Warmup"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Dynamic Stretching"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Calves ""}","The lateral kneeling adductor mobilization drill is a form of dynamic stretching and an exercise used to alleviate tension in the adductors.
Ensuring you’re properly warmed up is important for maximizing your time in the gym and avoiding injury.
","In an quadruped position, ensure the toes are tucked and the hands are directly underneath the shoulders Straighten one leg to the side and keep the foot flat on the floor Exhale and push your hands into the floor to direct your hips backwards to increase the stretch on your groin Once you run out of range of motion in your adductor, rock back to the starting position and repeat for the assigned number of repetitions on both sides ","If you feel a pinch on the outside of the hip joint instead of a stretch on the inside portion (i e  the adductor) then you may have adopted a stance is slightly too wide and as such you’re getting a bit of bone on bone contact  Bring your stance in a touch and push back a bit further or switch to more advanced progression such as a cossack squat Focus on keeping your spine neutral by thinking about “making your spine long” as you rock back If you feel your pelvis rolling underneath or spine rounding, then you’ve essentially run out of range of motion at the hip and you’re not compensating with the spine Move slowly and methodically, to be able to use new ranges of motion, you must be able to control them ",https://cdn.muscleandstrength.com/sites/default/files/lateral-kneeling-adductor-mobilization.jpg,https://www.youtube.com/embed/NsZRuAHF7sI?rel=0&showinfo=0
Cable Hip Adduction,"{""targetMuscleGroup"":""Adductors"",""exerciseType"":""Strength"",""equipmentRequired"":""Cable"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Glutes, Hamstrings ""}",,"Set up for the cable hip adduction by attaching an ankle strap (if one is not available, a single handle may suffice) to the low pulley of a cable pulley machine and set your desired weight on the stack Attach the ankle strap to your left ankle and stand up straight with your feet close together with your left foot closest to the machine  You can use your left arm to hold onto the machine for stability You are now in the staring position Begin the movement by lifting your left foot off the floor to take the weight off the rack Keep your leg as straight as possible and begin slowly moving it across your body until your ankle passes your standing leg Pause for a moment and then slowly reverse the movement and bring your leg back to the starting position  Repeat for the desired amount of reps  Turn around, attach the the strap to your right ankle and then repeat with your right leg ​Exercise ","Stand up straight and focus on moving only at the hip Keep your torso as still as possible You can eventually begin to increase the range of motion by standing further and further away from the machine This will require a good deal of balance as you won't be able 
